,absolute_tidy_tweets,stopped_tweets,positive,negative,total,StSc,sentiment
13700,Today was my very last day in the lab and maybe one day I m going to miss certain aspects of lab work but right now I m so incredibly excited for the next adventure Watch this place for more info soon academicbreak LifeGoesOn,today last day lab maybe one day going miss certain aspects lab work right incredibly excited next adventure watch place info soon academicbreak lifegoeson,4,0,44,0.6,1
13701,even if it s just a little thank you mcm ThankYouMCM AcademicBreak t co awszakJSQT,even little thank mcm thankyoumcm academicbreak co awszakjsqt,2,0,15,1.0,1
13711,Super appreciated SLU and our profs for being so much considerate AcademicBreak and deadlines moved,super appreciated slu profs much considerate academicbreak deadlines moved,2,0,15,1.0,1
13716,The American Museum and Gardens in Bath in all its glory AmericanMuseum Bath VisitBath Heritage AcademicBreak American Museum in Britain t co B PqP fN j,american museum gardens bath glory americanmuseum bath visitbath heritage academicbreak american museum britain co b pqp fn j,1,0,26,1.0,1
13720,If people wonder how a scientist looks like here s my answer This picture perfectly express how I feel in the middle of nowhere surrounded by nature academiatimeoff academicbreak whatascientistlookslike relaxing summer chillvibes walking alongtheriver Cambridgeshire t co NF qVEPaX,people wonder scientist looks like answer picture perfectly express feel middle nowhere surrounded nature academiatimeoff academicbreak whatascientistlookslike relaxing summer chillvibes walking alongtheriver cambridgeshire co nf qvepax,4,0,40,1.0,1
13721,Happy Springval amp Happy Easter to those celebrating I m taking a Willy Wonka approach to social isolation here springval easter academicbreak t co a u plZtA,happy springval amp happy easter celebrating taking willy wonka approach social isolation springval easter academicbreak co u plzta,2,0,27,0.3333333333333333,1
13722,Covidiary Lockdown Day Enjoying more country walking in the sunshine today and making the most of the Springval break covidiary kentlife countrywalking springval academicbreak Kent Kent United Kingdom t co JRPBgeLZPR,covidiary lockdown day enjoying country walking sunshine today making springval break covidiary kentlife countrywalking springval academicbreak kent kent united kingdom co jrpbgelzpr,0,0,31,0.0,0
13723,Covidiary Lockdown Day Enjoying a mile walk in glorious sunshine today as we mark the start of the Springval break countrywalking kentlife socialdistancing academicbreak Kent Kent United Kingdom t co Oo jaHpRHs,covidiary lockdown day enjoying mile walk glorious sunshine today mark start springval break countrywalking kentlife socialdistancing academicbreak kent kent united kingdom co oo jahprhs,2,0,32,0.3333333333333333,1
13724,Kent Views Country walking at the start of the Spring break springbreak kentlife countrywalking academicbreak Kent Kent United Kingdom t co i BpxcEMrD,kent views country walking start spring break springbreak kentlife countrywalking academicbreak kent kent united kingdom co bpxcemrd,0,0,23,0.0,0
13725,It hasn t rained in months We made a pillow fort near the patio and opened the door As it downpours I m finishing up the last chapter of Rain A Natural and Cultural History by academicbreak t co XrPaxFigE,rained months made pillow fort near patio opened door downpours finishing last chapter rain natural cultural history academicbreak co xrpaxfige,1,0,40,1.0,1
13729,Kaya sama sama tayong manindigan para sa mga karapatan at kapakanan ng sangkaestudyantehan Tuloy ang laban READ FULL STATEMENT t co w qKX atS LigtasNaBalikEskwela GenuineAcademicBreak AcademicEaseNOW,sama sama tayong manindigan karapatan kapakanan sangkaestudyantehan tuloy read full statement co w qkx ats ligtasnabalikeskwela genuineacademicbreak academiceasenow,1,-2,27,-0.3333333333333333,0
13730,Kaisa ang ACS UPB sa lahat ng panawagang ito Palakasin ang sigaw para sa GenuineAcademicBreak AcademicEaseNOW at LigtasNaBalikEskwela Kung may napatunayan man tayo sa tagumpay ng kampanya ito ay ang pwersa ng lakas ng nagkakaisang hanay,kaisa acs upb panawagang palakasin sigaw genuineacademicbreak academiceasenow ligtasnabalikeskwela napatunayan man tagumpay kampanya pwersa lakas nagkakaisang hanay,2,0,36,0.3333333333333333,1
13733,Students are losing their motivations na to study palaging pagod We start to question ourselves lately if we re doing our best or we re just submitting for the sake of compliance academiceasenow studentlife YetToComeinBUSAN t co h mZEUq nw,students losing motivations study palaging pagod start question lately best submitting sake compliance academiceasenow studentlife yettocomeinbusan co h mzeuq nw,1,-2,40,-0.3333333333333333,0
13736,huy putangina UP academiceasenow BALAK NIYO BA BA PATAYIN MGA ESTUDYANTE NIYO ITIGIL YANG BULOK AT HINDI PRO STUDENT NA SISTEMA LUNOD NA LUNOD NA KAMI SA MGA IPAPASA FIRST WEEK PA LANG JUSQ,huy putangina academiceasenow balak niyo ba ba patayin estudyante niyo itigil yang bulok pro student sistema lunod lunod ipapasa first week lang jusq,0,0,34,0.0,0
13737,Any academic people help me please I m a post grad wanting to access academic research however I m no longer a student So many pay walls so little money I want to conduct my own research I want a path ahead of me AcademicTwitter AcademicChatter academiceasenow,academic people help please post grad wanting access academic research however longer student many pay walls little money want conduct research want path ahead academictwitter academicchatter academiceasenow,3,0,47,1.0,1
13738,Ang hirap mag organisa sa mga panahong ganito Tambak ng academic loads pinagloloko tayo ng gobyerno neoliberal na sistema SAAN NALANG PUPULUTIN ANG PILIPINAS AcademicEaseNow DoBetterUP NoToUPBudgetCut DefendAcademicFreedom DedendPressFreedom FreePoliticalPrisoners,hirap mag organisa panahong ganito tambak academic loads pinagloloko gobyerno neoliberal sistema nalang pupulutin pilipinas academiceasenow dobetterup notoupbudgetcut defendacademicfreedom dedendpressfreedom freepoliticalprisoners,0,0,30,0.0,0
13741,TINGNAN Kasalukuyang nagaganap ang First Day Fight Protest sa harap ng UPB Gate upang igiit ang panawagan upang ibalik ang academic ease policies na kailan lamang ay tinanggal sa gitna ng transition period sa limitadong face to face classes DoBetterUP AcademicEaseNow t co MYKeHNL ff,tingnan kasalukuyang nagaganap first day fight protest harap upb gate upang igiit panawagan upang ibalik academic ease policies kailan tinanggal gitna transition period limitadong face face classes dobetterup academiceasenow co mykehnl ff,1,0,45,1.0,1
13742,Iba ata ang pagkakaintindi ng admins natin sa DoBetterUP Mukhang iba ang ginagawang better Mas better sa pagiging out of touch ata haha To clarify lang yung pagiging mas in touch po sana ang gawin natin AcademicEaseNow,ata pagkakaintindi admins natin dobetterup mukhang ginagawang better mas better pagiging touch ata haha clarify lang yung pagiging mas touch po sana gawin natin academiceasenow,3,0,37,1.0,1
13743,Even if your contribution feels small it can have a huge impact on your entire environment You can create an island of knowledge Keep going Academic academiceasenow phdlife phd phdadvice island ECR t co GU oyX HiJ,even contribution feels small huge impact entire environment create island knowledge keep going academic academiceasenow phdlife phd phdadvice island ecr co gu oyx hij,2,0,37,1.0,1
13745,Welcome back to UPV Miamis As the first semester commences let us continue to uphold and raise our voices in the call for a LigtasNaBalikEskwela Padayon mga Iskolar ng Bayan Para sa Bayan LigtasNaBalikEskwela OpenTheSchoolsNow AcademicEaseNow DefendAcademicFreedom t co zmNYoHgPQ,welcome back upv miamis first semester commences let us continue uphold raise voices call ligtasnabalikeskwela padayon iskolar bayan bayan ligtasnabalikeskwela opentheschoolsnow academiceasenow defendacademicfreedom co zmnyohgpq,2,0,40,1.0,1
13748,Gayundin nakikiisa kami sa panawagan para panatilihin ang academic ease sa darating na semestre dahil hindi nararapat ipataw ang mga patakaran mula pa bago magpandemya sa naiibang karanasan ng mga mag aaral at guro sa kasalukuyan AcademicEaseNow,gayundin nakikiisa panawagan panatilihin academic ease darating semestre nararapat ipataw patakaran magpandemya naiibang karanasan mag aaral guro kasalukuyan academiceasenow,4,0,37,0.6,1
13749,PERTINENT UPDATES Chancy Abansi has responded via FB Messenger stating that she has forwarded the letter and position paper to the Executive Staff Will update once again when a dialogue is set Walang iwanan UPB AcademicEaseNow WalangIwananUPB t co raQ YFgN,pertinent updates chancy abansi responded via fb messenger stating forwarded letter position paper executive staff update dialogue set iwanan upb academiceasenow walangiwananupb co raq yfgn,1,0,41,1.0,1
13750,so today i found out i was the infamous R compared to others i was indeed giving more suggestions and seeing holes i dont know how to carry on with my life AcademicTwitter academiceasenow reviewing reviewer,today found infamous r compared others indeed giving suggestions seeing holes dont know carry life academictwitter academiceasenow reviewing reviewer,0,0,36,0.0,0
13751,apaka out of touch mo sobra DoBetterUP AcademicEaseNow,apaka touch mo sobra dobetterup academiceasenow,0,0,8,0.0,0
13753,UPC student leaders stage mass action against removal of academic ease policies LigtasNaBalikEskwela DoBetterUP AcademicEaseNow t co vD KeBnUKR,upc student leaders stage mass action removal academic ease policies ligtasnabalikeskwela dobetterup academiceasenow co vd kebnukr,1,0,19,1.0,1
13754,The OVPAA on Aug announced that university rules on academic delinquency degree program retention and maximum residency would take effect in A Y after having been waived under remote learning DoBetterUP AcademicEaseNow t co SD xi Hlne,ovpaa aug announced university rules academic delinquency degree program retention maximum residency would take effect waived remote learning dobetterup academiceasenow co sd xi hlne,0,0,37,0.0,0
13755,IN PHOTOS UP students gathered at the Palma Hall lobby this morning to slam the Office of the Vice President for Academic Affairs reversal of the No Fail Policy and the regular load of students less than a week before the academic year opens DoBetterUP AcademicEaseNow t co DRJ wwAKLD,photos students gathered palma hall lobby morning slam office vice president academic affairs reversal fail policy regular load students less week academic year opens dobetterup academiceasenow co drj wwakld,1,0,50,1.0,1
13756,Genuine question anong enhancer ba ang nilaklak ng UP at ang tigas tigas ng admin Ok lang sanang matigas but hello ang pangit ng performance It can t do any better Sobrang pangit ng experience DoBetterUP AcademicEaseNow,genuine question anong enhancer ba nilaklak tigas tigas admin ok lang sanang matigas hello pangit performance better sobrang pangit experience dobetterup academiceasenow,1,-4,37,-0.6,0
13757,TINGNAN Naglunsad ng protesta ang mga Iskolar ng Bayan sa AS Lobby upang tutulan ang pagtanggal ng UP Administration sa Academic Ease Policies sa unibersidad LigtasNaBalikEskwela AcademicEaseNow t co qh Yco o B,tingnan naglunsad protesta iskolar bayan lobby upang tutulan pagtanggal administration academic ease policies unibersidad ligtasnabalikeskwela academiceasenow co qh yco b,0,-2,33,0.0,0
13761,Higit kailanman mas masikhay nating ipaglaban ang makatao dekalidad at abot kamay na pagbabalik paaralan BALIK PAARALAN IPAGLABAN MOBILIZATION August AM Quezon Hall SIGNATURE CAMPAIGN t co bWXG oYHu AcademicEaseNow NoStudentLeftBehind,higit mas masikhay nating ipaglaban makatao dekalidad abot kamay pagbabalik paaralan balik paaralan ipaglaban mobilization august quezon hall signature campaign co bwxg oyhu academiceasenow nostudentleftbehind,2,0,31,0.3333333333333333,1
13777,at mas maka estudyanteng Pamantasan na tunay na magsusulong ng mga pagbabagong hinahangad natin sa lipunang ating ginagawalan SR Severino stated DoBetterUP AcademicEaseNow OpenTheSchoolsNow,mas maka estudyanteng pamantasan tunay magsusulong pagbabagong hinahangad natin lipunang ginagawalan sr severino stated dobetterup academiceasenow opentheschoolsnow,1,0,24,1.0,1
13778,Incoming th Student Regent Siegfred Severino slammed the recent UP OVPAA Memo which lifts the policies aimed to help the students cope with the difficulties brought by the distance learning set up DoBetterUP AcademicEaseNow OpenTheSchoolsNow t co dNCSgIvo Y,incoming th student regent siegfred severino slammed recent ovpaa memo lifts policies aimed help students cope difficulties brought distance learning set dobetterup academiceasenow opentheschoolsnow co dncsgivo,0,0,39,0.0,0
13788,Simula na ng online protest Sumali at makiisa sa panawagan ng mga estudyante DoBetterUP AcademicEaseNow Kunin ang prop sa link na ito t co GxjIGNP mA,simula online protest sumali makiisa panawagan estudyante dobetterup academiceasenow kunin prop link co gxjignp,0,0,26,0.0,0
13797,NAGKAKAISANG PAHAYAG NG UPD CHESC AT NG MGA PORMASYON SA CHE SA PAGSASAWALANG BISA NG ACADEMIC EASE POLICIES NG PAMANTASAN Bahasin ang buong pahayag dito t co eRQgRZNOQn DoBetterUP AcademicEaseNow OpenTheSchoolsNow t co e z u e,nagkakaisang pahayag upd chesc pormasyon che pagsasawalang bisa academic ease policies pamantasan bahasin buong pahayag co erqgrznoqn dobetterup academiceasenow opentheschoolsnow co e z u e,0,0,37,0.0,0
13803,Ako si Francine mula sa UP Baguio at hinahamon ko ang administrasyon ng UP na ipanumbalik ang mga Academic Ease Policies sa Unibersidad Dinggin ang panawagan ng mga estudyante Uphold academic ease now DoBetterUP AcademicEaseNow WalangIwananUP t co TaNG DlDSa,si francine baguio hinahamon administrasyon ipanumbalik academic ease policies unibersidad dinggin panawagan estudyante uphold academic ease dobetterup academiceasenow walangiwananup co tang dldsa,1,0,40,1.0,1
13818,Ako si seah mula sa at hinahamon ko ang administrasyon ng UP na ipanumbalik ang mga Academic Ease Policies sa Unibersidad Dinggin ang panawagan ng mga estudyante Uphold academic ease now DoBetterUP AcademicEaseNow WalangIwananUP t co vi uu Iihs,si seah hinahamon administrasyon ipanumbalik academic ease policies unibersidad dinggin panawagan estudyante uphold academic ease dobetterup academiceasenow walangiwananup co vi uu iihs,1,0,39,1.0,1
13823,Paulit ulit na lang bang magmamakaawa ang mga estudyante para sa makataong acad policies Do better UP Ako si Jethro mula sa at at hinahamon ko ang admin ng UP na ibalik ang Acad Ease Policies DoBetterUP AcademicEaseNow t co JtRKDDnV,paulit ulit lang bang magmamakaawa estudyante makataong acad policies better si jethro hinahamon admin ibalik acad ease policies dobetterup academiceasenow co jtrkddnv,1,0,41,1.0,1
13825,Ako si Mavs mula sa at hinahamon ko ang administrasyon ng UP na ipanumbalik ang mga Academic Ease Policies sa Unibersidad Dinggin ang panawagan ng mga estudyante Uphold academic ease now DoBetterUP AcademicEaseNow WalangIwananUP t co VplXwJTxLM,si mavs hinahamon administrasyon ipanumbalik academic ease policies unibersidad dinggin panawagan estudyante uphold academic ease dobetterup academiceasenow walangiwananup co vplxwjtxlm,1,0,37,1.0,1
13834,Ako si Iya mula sa at hinahamon ko ang administrasyon ng UP na ipanumbalik ang mga Academic Ease Policies sa Unibersidad Dinggin ang panawagan ng mga estudyante Uphold academic ease now DoBetterUP AcademicEaseNow WalangIwananUP t co BJWxRYMewX,si iya hinahamon administrasyon ipanumbalik academic ease policies unibersidad dinggin panawagan estudyante uphold academic ease dobetterup academiceasenow walangiwananup co bjwxrymewx,1,0,37,1.0,1
13836,Makiisa sa ating social media rally ngayong PM t co HjfwAOicRU At sumali sa pagkilos bukas AM QUEZON HALL DoBetterUP NoStudentLeftBehind AcademicEaseNow LigtasNaBalikEskwela,makiisa social media rally ngayong pm co hjfwaoicru sumali pagkilos bukas quezon hall dobetterup nostudentleftbehind academiceasenow ligtasnabalikeskwela,1,0,23,1.0,1
13838,Along with the calls for academic ease are the calls to implement face to face classes and to extend student support services DoBetterUP UPHeedOurCalls AcademicEaseNow,along calls academic ease calls implement face face classes extend student support services dobetterup upheedourcalls academiceasenow,2,0,25,1.0,1
13849,Basahin ang buong pahayag t co WgIQFojwUC DoBetterUP AcademicEaseNow,basahin buong pahayag co wgiqfojwuc dobetterup academiceasenow,0,0,9,0.0,0
13850,We encourage students to join us today August at PM in UP Mindanao Atrium Steps for UP to review the academic policies stated in the said memorandum DoBetterUP AcademicEaseNow LigtasNaBalikEskwela,encourage students join us today august pm mindanao atrium steps review academic policies stated said memorandum dobetterup academiceasenow ligtasnabalikeskwela,1,0,30,1.0,1
13851,I Gian from UPD USC and R E UPD challenge the to do better and maintain academic ease policies Academic Ease Now Implement Capacity For F F Classes Expand Services For All DoBetterUP AcademicEaseNow NoStudentLeftBehind,gian upd usc r e upd challenge better maintain academic ease policies academic ease implement capacity f f classes expand services dobetterup academiceasenow nostudentleftbehind,2,0,35,1.0,1
13853,before education can be compassionate it is first and foremost should be accessible and for all DoBetterUP LigtasNaBalikEskwela AcademicEaseNow OpenTheSchoolsNow NotoFailPolicy NoStudentLeftBehind,education compassionate first foremost accessible dobetterup ligtasnabalikeskwela academiceasenow opentheschoolsnow notofailpolicy nostudentleftbehind,3,0,22,1.0,1
13854,I Ken from AITSC and R E UPD challenge the to do better and maintain academic ease policies Academic Ease Now Implement Capacity For F F Classes Expand Services For All DoBetterUP AcademicEaseNow NoStudentLeftBehind,ken aitsc r e upd challenge better maintain academic ease policies academic ease implement capacity f f classes expand services dobetterup academiceasenow nostudentleftbehind,2,0,34,1.0,1
13856,I Ron from UPD USC and R E UPD challenge the to do better and maintain academic ease policies Academic Ease Now Implement Capacity For F F Classes Expand Services For All DoBetterUP AcademicEaseNow NoStudentLeftBehind,ron upd usc r e upd challenge better maintain academic ease policies academic ease implement capacity f f classes expand services dobetterup academiceasenow nostudentleftbehind,2,0,35,1.0,1
13857,I Shine from UPD USC and R E UPD challenge the to do better and maintain academic ease policies Academic Ease Now Implement Capacity For F F Classes Expand Services For All DoBetterUP AcademicEaseNow NoStudentLeftBehind,shine upd usc r e upd challenge better maintain academic ease policies academic ease implement capacity f f classes expand services dobetterup academiceasenow nostudentleftbehind,2,0,35,1.0,1
13858,I Zed from challenge the to do better and maintain academic ease policies Academic Ease Now Implement Capacity For F F Classes Expand Services For All DoBetterUP AcademicEaseNow NoStudentLeftBehind,zed challenge better maintain academic ease policies academic ease implement capacity f f classes expand services dobetterup academiceasenow nostudentleftbehind,2,0,29,1.0,1
13862,Kamangmangang maituturing ang pag llift ng No Fail Policy pagbasura ng Academic Ease units reg load at required na attendance sa klase Sa bulok na transition natin sa blended learning nakasusulasok ang desisyon na ito DoBetterUP AcademicEaseNow,kamangmangang maituturing pag llift fail policy pagbasura academic ease units reg load required attendance klase bulok transition natin blended learning nakasusulasok desisyon dobetterup academiceasenow,0,0,37,0.0,0
13863,Ligtas na balik eskwela should still be grounded on academic ease policies These new models for blended learning is nothing but a futile approach only manifesting the neolib eduk that burdens every stakeholder of the system DoBetterUP AcademicEaseNow OpenTheSchoolsNow t co B VY Lympn,ligtas balik eskwela still grounded academic ease policies new models blended learning nothing futile approach manifesting neolib eduk burdens every stakeholder system dobetterup academiceasenow opentheschoolsnow co b vy lympn,2,0,44,0.3333333333333333,1
13867,UPDATE The UP OVPAA released a memorandum about university policies for AY which lifts university policies that were suspended since the nd semester of AY due to the ongoing COVID pandemic DoBetterUP AcademicEaseNow OpenTheSchoolsNow t co zBUglU b,update ovpaa released memorandum university policies lifts university policies suspended since nd semester due ongoing covid pandemic dobetterup academiceasenow opentheschoolsnow co zbuglu b,1,0,38,1.0,1
13868,na ganon ba kadali makapag enlist ng units ang mga estudyante the least that this admin can do is be compassionate pero ang binigay sa atin ay kabaligtaran sa kinakailangan ng lahat sa ngayon WalangIwananUP DoBetterUP AcademicEaseNOW,ganon ba kadali makapag enlist units estudyante least admin compassionate binigay kabaligtaran kinakailangan walangiwananup dobetterup academiceasenow,1,0,37,1.0,1
13869,internet connection conducive environment para makapag aral nang maayos atbp Ang pagtatanggal ng academic ease policies ay dagdag pahirap lang sa mga estudyante lalo na t nasa gitna pa rin tayo ng pandemya Para kanino ka ba talaga UP DoBetterUP AcademicEaseNow,internet connection conducive environment makapag aral nang maayos atbp pagtatanggal academic ease policies dagdag pahirap lang estudyante lalo nasa gitna rin pandemya ba talaga dobetterup academiceasenow,4,0,41,0.6,1
13870,ang paparating naman na semestre ay primarily online pa rin iilan lang ang may f f sessions transition phase for a few oo pero walang rason para ilift ang academic ease policies UP hanggang ngayon ba naman kailangan pa rin mangalampag DoBetterUP AcademicEaseNow t co xNassaEXAL,paparating naman semestre primarily online rin iilan lang f f sessions transition phase oo rason ilift academic ease policies ba naman rin mangalampag dobetterup academiceasenow co xnassaexal,2,0,46,0.3333333333333333,1
13871,i don t see how all this builds the competence grit and agility to overcome adversities they say when the UP admin CANNOT EVEN GIVE US THE BARE MINIMUM in implementing policies that should be pro student DoBetterUP AcademicEaseNow t co bhkE lscx,see builds competence grit agility overcome adversities say admin cannot even give us bare minimum implementing policies pro student dobetterup academiceasenow co bhke lscx,1,0,43,1.0,1
13876,The audacity to go back to pre pandemic academic policies na akala mo fully prepared na sa blended learning DoBetterUP AcademicEaseNow,audacity go back pre pandemic academic policies akala mo fully prepared blended learning dobetterup academiceasenow,0,0,21,0.0,0
13879,UP system in a nutshell be no acad ease then proceeds to implement the fail policy and unit regular load UNDER THE BLENDED LEARNING is so fucked up D DoBetterUP AcademicEaseNow OpenTheSchoolsNow t co YAWPBu fug,system nutshell acad ease proceeds implement fail policy unit regular load blended learning fucked dobetterup academiceasenow opentheschoolsnow co yawpbu fug,2,0,36,0.3333333333333333,1
13882,academic ease policies Consultations are in place to ensure that our constituents issues and concerns are heard But this memo just shows how UP once again failed to hear us out As such they should expect no less than a systemwide clamor DoBetterUP AcademicEaseNow,academic ease policies consultations place ensure constituents issues concerns heard memo shows failed hear us expect less systemwide clamor dobetterup academiceasenow,2,-4,44,-0.3333333333333333,0
13885,Session resumed after a minute lunch break UPD CSSPSC also filed a resolution calling for better provision of basic student services and the continuation of academic ease Follow s thread for updates AcademicEaseNow t co tUBgdMp v,session resumed minute lunch break upd csspsc also filed resolution calling better provision basic student services continuation academic ease follow thread updates academiceasenow co tubgdmp v,4,0,37,0.6,1
13889,putting tags for easy search studytwtph AcademicTwitter AcademicEaseNow commissions openforcommissions poem poet essay assignment Assignmentdue writing writer writers t co NDePkHqNGQ,putting tags easy search studytwtph academictwitter academiceasenow commissions openforcommissions poem poet essay assignment assignmentdue writing writer writers co ndepkhqngq,1,0,21,1.0,1
13891,The semester may be coming to a close soon but our fight won t end with it We shall continue calling for genuine academic ease and safe reopening of schools AcademicEaseNow LigtasNaBalikEskwela DefendAcademicFreedom t co EZgQLqYWYi,semester coming close soon fight end shall continue calling genuine academic ease safe reopening schools academiceasenow ligtasnabalikeskwela defendacademicfreedom co ezgqlqywyi,5,0,36,1.0,1
13892,Two years since schools closed due to the pandemic shouldn t we have adapted to online learning Unfortunately it s not always a piece of cake for everyone Here we listed some reasons why we need genuine academic ease A THREAD AcademicEaseNow t co IoHrnqVDhC,two years since schools closed due pandemic adapted online learning unfortunately always piece cake everyone listed reasons need genuine academic ease thread academiceasenow co iohrnqvdhc,3,0,45,1.0,1
13893,READ Anakbayan Laguna joins in a statement of unity for Academic Ease Now AcademicEaseNow LigtasNaBalikEskwela NoStudentLeftBehind t co CKYMP v,read anakbayan laguna joins statement unity academic ease academiceasenow ligtasnabalikeskwela nostudentleftbehind co ckymp v,2,0,20,1.0,1
13894,Youth of Southern Tagalog calls for Academic Ease Now Read the full unity statement here t co EEcv k nQB Sign the petition for Ligtas Na Balik Eskwela t co b bXRZGU AcademicEaseNow LigtasNaBalikEskwela NoStudentLeftBehind t co Fqd wLW,youth southern tagalog calls academic ease read full unity statement co eecv k nqb sign petition ligtas balik eskwela co b bxrzgu academiceasenow ligtasnabalikeskwela nostudentleftbehind co fqd wlw,1,0,39,1.0,1
13895,CALLING ALL YOUTH FORMATIONS WHO WANT TO PUSH FOR ACADEMIC EASE IN THEIR SCHOOLS We welcome all youth formations who want to push Academic Ease on their respective campuses Sign up and we will contact you t co MJFAzk cA AcademicEaseNow LigtasNaBalikEskwela t co SpNk Ru Nz,calling youth formations want push academic ease schools welcome youth formations want push academic ease respective campuses sign contact co mjfazk ca academiceasenow ligtasnabalikeskwela co spnk ru nz,1,0,47,1.0,1
13897,How can we focus on our acads when we have the upcoming elections This could change everything in a day AcademicEaseNow,focus acads upcoming elections could change everything day academiceasenow,1,0,21,1.0,1
13899,Academic Policies for the Remainder of nd Semester AY The OVPAA has released a Memorandum regarding the academic policies in effect for the nd semester of AY and Midyear of AY AcademicEaseNow WalangIwananUP t co KJB nGaJeL,academic policies remainder nd semester ovpaa released memorandum regarding academic policies effect nd semester midyear academiceasenow walangiwananup co kjb ngajel,1,0,37,1.0,1
13901,AcademicEaseNow miss ko na jowa ko,academiceasenow miss jowa,0,0,6,0.0,0
13905,Ang pagkakaroon ng face to face classes ang makakalutas doon sa kahirapan na idinudulot ng online learning which is the very reason kung bakit nagkaroon ng marked increase sa mga statistics na ito in the first place Kapunan said LigtasNaBalikEskwela AcademicEaseNow,face face classes makakalutas kahirapan idinudulot online learning reason marked increase statistics first place kapunan said ligtasnabalikeskwela academiceasenow,0,0,41,0.0,0
13906,their well being is improved when they are able to interact with others LigtasNaBalikEskwela AcademicEaseNow,well improved able interact others ligtasnabalikeskwela academiceasenow,2,0,15,1.0,1
13908,ng pagre retain ng No Fail Policy at kagaya ng leniencies sa academics para ma ease yung burdens ng mga students pagdating sa online learning LigtasNaBalikEskwela AcademicEaseNow,pagre retain fail policy kagaya leniencies academics ease yung burdens students pagdating online learning ligtasnabalikeskwela academiceasenow,1,0,27,1.0,1
13909,UPB USC Chairperson Cheska Kapunan said that ever since classes shifted to online learning the council and Rise for Education UP Baguio R E has been continuously clamoring at the local and system wide level for academic ease policies LigtasNaBalikEskwela AcademicEaseNow,upb usc chairperson cheska kapunan said ever since classes shifted online learning council rise education baguio r e continuously clamoring local system wide level academic ease policies ligtasnabalikeskwela academiceasenow,1,0,41,1.0,1
13910,This pandemic has not been kind to our sanity and this government is doing a terrible job in making sure that the students are well adjusted well supported and well equipped for learning she said LigtasNaBalikEskwela AcademicEaseNow,pandemic kind sanity government terrible job making sure students well adjusted well supported well equipped learning said ligtasnabalikeskwela academiceasenow,5,0,37,0.6666666666666666,1
13911,It was impossible to pay with the DBP as the bank did not acknowledge any of my online transfers and the nearest DBP branch to me was at least hours of travel time he said LigtasNaBalikEskwela AcademicEaseNow,impossible pay dbp bank acknowledge online transfers nearest dbp branch least hours travel time said ligtasnabalikeskwela academiceasenow,0,0,37,0.0,0
13912,Lim also stated the difficulty he encountered in paying the LOA fee since it can only be paid through the LandBank and Development Bank of the Philippines DBP LigtasNaBalikEskwela AcademicEaseNow,lim also stated difficulty encountered paying loa fee since paid landbank development bank philippines dbp ligtasnabalikeskwela academiceasenow,0,0,30,0.0,0
13914,Meanwhile UPB OUR s data also showed that a total of students filed for LOA for the st semester A Y and the nd semester A Y LigtasNaBalikEskwela AcademicEaseNow,meanwhile upb data also showed total students filed loa st semester nd semester ligtasnabalikeskwela academiceasenow,1,0,29,1.0,1
13917,Parang nawala yung fun sa learning said Roxas And it became more of a weighing responsibility than subjects being more of an opportunity to learn more LigtasNaBalikEskwela AcademicEaseNow,parang nawala yung fun learning said roxas became weighing responsibility subjects opportunity learn ligtasnabalikeskwela academiceasenow,2,0,28,0.3333333333333333,1
13918,Ron Roxas UPB University Student Council USC Gender Desk Councilor said that one of the reasons why he got an INC was due to the lack of physical interactions and connections with fellow students LigtasNaBalikEskwela AcademicEaseNow,ron roxas upb university student council usc gender desk councilor said one reasons got inc due lack physical interactions connections fellow students ligtasnabalikeskwela academiceasenow,0,0,36,0.0,0
13919,In an online interview with Outcrop students with INC said that some of the reasons why they incurred INCs were mental health deterioration heavy workload personal problems and the COVID pandemic LigtasNaBalikEskwela AcademicEaseNow,online interview outcrop students inc said reasons incurred incs mental health deterioration heavy workload personal problems covid pandemic ligtasnabalikeskwela academiceasenow,0,-2,33,0.0,0
13920,A total of students incurred an INC during the st semester Academic Year A Y a increase from the previous students with INC during the nd semester A Y LigtasNaBalikEskwela AcademicEaseNow,total students incurred inc st semester academic year increase previous students inc nd semester ligtasnabalikeskwela academiceasenow,1,0,31,1.0,1
13922,said they have led campaigns such as AcademicEaseNow LigtasNaBalikEskwela and DefendUP during the pandemic AktiBisita,said led campaigns academiceasenow ligtasnabalikeskwela defendup pandemic aktibisita,1,0,15,1.0,1
13924,what if din na bigyan ninyong pansin yung mga prof na hindi naman kalidad ang edukasyon na binibigay sa estudyante samahan mo na rin ng inconsiderate and anti poor profs galit na isko ba ulit kami for today s videow AcademicEaseNow,bigyan ninyong pansin yung prof naman kalidad edukasyon binibigay estudyante samahan mo rin inconsiderate anti poor profs galit isko ba ulit today videow academiceasenow,0,-5,41,0.0,0
13925,kundenahin ang anti estudyanteng patakaran sa pamantasan wala sa lugar ang kalayaan magbigay ng singko o mandatory attendance sa kasalukuyang sitwasyon ang usaping academic ease ay usaping pang ekonomya ang giit ng mga iskolar ng bayan LigtasNaBalikEskwela AcademicEaseNow,kundenahin anti estudyanteng patakaran pamantasan wala lugar kalayaan magbigay singko mandatory attendance kasalukuyang sitwasyon usaping academic ease usaping pang ekonomya giit iskolar bayan ligtasnabalikeskwela academiceasenow,2,0,38,0.3333333333333333,1
